device_name,resistance,capacitance,temperature,voltage,frequency,file_name
e12,800.0,1e-08,300,0.92,24598.49941138372,QF4Q-e12-0.8kOhm-10nF-300K-0.920V.csv
e10,800.0,1e-08,300,0.97,1988.9206917726303,MPZY-e10-0.8kOhm-10nF-300K-0.970V.csv
e11,800.0,1e-08,300,0.91,35101.77919647785,DJ1M-e11-0.8kOhm-10nF-300K-0.910V.csv
e9,650.0,1e-08,300,0.999,3140.6465543361282,S4CV-e9-0.650kOhm-10nF-300K-0.999V.csv
e11,800.0,1e-08,300,0.9,42549.79233924543,P0ZG-e11-0.8kOhm-10nF-300K-0.900V.csv
e7,800.0,1e-08,300,1.1,29823.98496785625,32PB-e7-0.800kOhm-10nF-300K-1.100V.csv
e12,800.0,1e-08,300,0.792,38409.06797199617,BOKN-e12-0.8kOhm-10nF-300K-0.792V.csv
e4,800.0,1e-08,300,0.99,52156.69351689427,QCWK-e4-0.800kOhm-10nF-300K-0.990V.csv
e11,800.0,1e-08,300,0.82,48769.5686020224,QDKE-e11-0.8kOhm-10nF-300K-0.820V.csv
e7,800.0,1e-08,300,1.0,30303.727157326688,CX50-e7-0.800kOhm-10nF-300K-1.000V.csv
d3,870.0,1e-08,300,0.99,75757.70321560862,INJA-d3-0.870kOhm-10nF-300K-0.990V.csv
e7,800.0,1e-08,300,0.97,35898.39138197263,FUTI-e7-0.800kOhm-10nF-300K-0.970V.csv
e8,800.0,1e-08,300,0.98,46395.05520508845,1WVG-e8-0.800kOhm-10nF-300K-0.980V.csv
e12,800.0,1e-08,300,0.825,57109.27627302264,VVRA-e12-0.8kOhm-10nF-300K-0.825V.csv
e12,800.0,1e-08,300,0.84,62634.78542009314,DJWY-e12-0.8kOhm-10nF-300K-0.840V.csv
e12,800.0,1e-08,300,0.806,49301.99884312657,XQDP-e12-0.8kOhm-10nF-300K-0.806V.csv
e8,800.0,1e-08,300,0.97,34700.92075108346,25WN-e8-0.800kOhm-10nF-300K-0.970V.csv
e7,800.0,1e-08,300,0.941,23945.780581202573,NS1H-e7-0.800kOhm-10nF-300K-0.941V.csv
e12,800.0,1e-08,300,0.8,47527.764921146285,50FV-e12-0.8kOhm-10nF-300K-0.800V.csv
e6,800.0,1e-08,300,0.96,61578.18042293438,WO75-e6-0.800kOhm-10nF-300K-0.960V.csv
e12,800.0,1e-08,300,0.808,49443.26624224638,DP6W-e12-0.8kOhm-10nF-300K-0.808V.csv
e12,800.0,1e-08,300,0.89,33297.20067943007,2IMV-e12-0.8kOhm-10nF-300K-0.890V.csv
d3,880.0,1e-08,300,0.99,78746.17591627403,VS3Z-d3-0.880kOhm-10nF-300K-0.990V.csv
e10,800.0,1e-08,300,1.0,788.5973165889907,6MV8-e10-0.8kOhm-10nF-300K-1.000V.csv
e11,800.0,1e-08,300,0.95,25196.52436081666,TRB2-e11-0.8kOhm-10nF-300K-0.950V.csv
